customer_id,customer_name,city,state,annual_income,signup_date,loyalty_status,days_since_signup,days_since_last_purchase,transaction_id,transaction_date,store_id,store_type,payment_method,total_items,total_sales_per_transaction,total_profit_per_transaction,total_cost,product_id,product_name,category,unit_price,quantity,satisfaction_score,store_sales,store_profit,daily_footfall,purchase_frequency,total_items_bought,cumulative_spending,cumulative_cost,average_order_value
CUST00509,Omaja Sabharwal,Naharlagun,Arunachal Pradesh,935516,04-05-2020,Regular,1756,11,TRANS00853,19-01-2023,STORE0001,Online,Cash,1,20000,3400,16600,PROD0019,Urban Ladder Bed,Furniture,20000,1,2,277100,46700,335,41,115,1911000,1563875,46609.76
CUST01226,Adweta Khurana,Bishnupur,Manipur,6130613,25-04-2021,At Risk,1400,205,TRANS01304,27-09-2023,STORE0001,Online,Cash,3,72000,10800,61200,PROD0016,Godrej Interio Sofa,Furniture,24000,3,4,143200,25466,335,22,105,1425100,1173810,64777.27
CUST00924,Baghyawati Bhatt,Chandigarh,Chandigarh,556206,09-04-2023,Regular,686,18,TRANS09919,26-06-2023,STORE0001,Online,Credit Card,1,5000,1100,3900,PROD0005,JBL Bluetooth Speaker,Electronics,5000,1,3,310100,56000,335,27,81,1285960,1057240,47628.15
CUST00525,Amruta Halder,Kota,Rajasthan,935516,13-02-2020,Regular,1837,6,TRANS02321,01-03-2023,STORE0001,Online,Debit Card,4,80000,13600,66400,PROD0019,Urban Ladder Bed,Furniture,20000,4,5,260480,46956,335,29,84,1415500,1169610,48810.34
CUST01189,Sneha Lanka,Rourkela,Odisha,556206,10-10-2021,VIP,1232,96,TRANS05711,28-09-2023,STORE0001,Online,UPI,2,54000,10800,43200,PROD0002,"Mi Smart TV 32""",Electronics,27000,2,5,143200,25466,335,28,81,1513360,1244943,54048.57
CUST00583,Rishi Mahal,Haridwar,Uttarakhand,556206,11-08-2024,Regular,196,27,TRANS02723,01-06-2022,STORE0001,Online,UPI,3,4800,1200,3600,PROD0013,H&M Cotton Shirt,Clothing,1600,3,5,176300,31800,335,30,105,1526360,1263212,50878.67
CUST01189,Sneha Lanka,Rourkela,Odisha,556206,10-10-2021,VIP,1232,96,TRANS07463,09-06-2021,STORE0001,Online,Cash,1,24000,3600,20400,PROD0016,Godrej Interio Sofa,Furniture,24000,1,3,230950,39858,335,28,81,1513360,1244943,54048.57
CUST00938,Raghav Raj,Silvassa,Dadra and Nagar Haveli and Daman and Diu,556206,18-01-2021,Regular,1497,1,TRANS06459,25-04-2023,STORE0001,Online,UPI,3,39000,6240,32760,PROD0020,IKEA Bookshelf,Furniture,13000,3,4,376000,68440,335,25,83,900700,744255,36028
CUST00893,Max Bedi,Ambala,Haryana,935516,02-10-2020,Regular,1605,16,TRANS04073,03-11-2024,STORE0001,Online,UPI,2,2000,500,1500,PROD0032,Lego City Set,Toys,1000,2,4,162000,30920,335,23,54,506200,413350,22008.7
CUST00109,Tanay Bhargava,Nagpur,Maharashtra,935516,28-02-2022,Regular,1091,29,TRANS06739,21-02-2022,STORE0001,Online,Debit Card,1,5000,1100,3900,PROD0005,JBL Bluetooth Speaker,Electronics,5000,1,4,56090,9791.5,335,26,67,1390990,1152140.5,53499.62
CUST00620,Ronith Vohra,Manali,Himachal Pradesh,935516,13-10-2023,Regular,499,38,TRANS00074,27-03-2021,STORE0001,Online,Credit Card,5,21500,4300,17200,PROD0012,Manyavar Kurta Set,Clothing,4300,5,5,100000,19450,335,31,95,1188850,968942.5,38350
CUST00541,Bachittar Lal,Prayagraj,Uttar Pradesh,556206,15-02-2021,Regular,1469,18,TRANS02677,13-06-2024,STORE0001,Online,UPI,1,24000,3600,20400,PROD0016,Godrej Interio Sofa,Furniture,24000,1,5,48350,7305,335,29,88,1525580,1249991,52606.21
CUST01141,Logan Raman,Karimnagar,Telangana,935516,02-06-2018,Regular,2458,6,TRANS09332,06-09-2021,STORE0001,Online,UPI,1,62000,11160,50840,PROD0004,"LG Smart TV 55""",Electronics,62000,1,5,253140,45952,335,33,95,1252740,1032877.5,37961.82
CUST01034,Tanish Roy,Tirupati,Andhra Pradesh,935516,02-10-2022,Regular,875,5,TRANS06823,15-08-2021,STORE0001,Online,Cash,1,35000,6300,28700,PROD0017,Pepperfry Dining Set,Furniture,35000,1,4,433900,73410,335,18,53,714300,589211,39683.33
CUST01021,Brinda Nanda,Vadodara,Gujarat,556206,10-01-2021,Regular,1505,24,TRANS04422,11-12-2023,STORE0001,Online,UPI,1,5500,1100,4400,PROD0018,Nilkamal Chair Set,Furniture,5500,1,5,222000,38225,335,25,62,890390,734017.5,35615.6
CUST01455,Pooja Hans,Jowai,Meghalaya,935516,03-12-2020,VIP,1543,101,TRANS03197,21-03-2024,STORE0001,Online,Wallet,3,186000,33480,152520,PROD0004,"LG Smart TV 55""",Electronics,62000,3,5,722500,131010,335,22,63,1036700,844217,47122.73
CUST00054,Aarini Gour,Puducherry,Puducherry,935516,23-08-2023,VIP,550,150,TRANS08640,03-06-2024,STORE0001,Online,UPI,5,350,105,245,PROD0007,Tata Tea Gold 250g,Groceries,70,5,4,48350,7305,335,16,50,298850,246560,18678.12
CUST00150,Vedant Mann,Dhanbad,Jharkhand,556206,12-07-2020,Regular,1687,83,TRANS04735,01-02-2021,STORE0001,Online,Cash,4,26000,4680,21320,PROD0014,Raymond Suit,Clothing,6500,4,2,405530,67338.5,335,26,83,1123110,935137,43196.54
CUST00853,Laban Desai,Dibrugarh,Assam,935516,04-07-2020,VIP,1695,153,TRANS01059,15-08-2022,STORE0001,Online,UPI,2,3200,800,2400,PROD0013,H&M Cotton Shirt,Clothing,1600,2,5,34000,7270,335,22,63,1241600,1028680,56436.36
CUST01078,Nathaniel Balan,Agartala,Tripura,5996288,24-08-2018,Regular,2375,31,TRANS02036,14-10-2022,STORE0001,Online,UPI,3,75000,11250,63750,PROD0028,Bajaj Water Heater,Appliances,25000,3,4,275000,49945,335,28,133,2447950,2020953,87426.79
CUST00957,Guneet Vaidya,Vijayawada,Andhra Pradesh,5996288,05-07-2018,Regular,2425,66,TRANS07731,12-11-2022,STORE0001,Online,Cash,4,12000,2640,9360,PROD0029,Havells Mixer Grinder,Appliances,3000,4,3,793720,143682,335,23,113,1867200,1532620,81182.61
CUST00739,Aarush Kakar,Hubli,Karnataka,5996288,21-09-2018,Regular,2347,72,TRANS08089,12-10-2022,STORE0001,Online,Cash,8,40000,8800,31200,PROD0005,JBL Bluetooth Speaker,Electronics,5000,8,2,275000,49945,335,27,155,1946960,1610968,72109.63
CUST00121,Darpan Chauhan,Khammam,Telangana,935516,02-03-2020,Regular,1819,22,TRANS03538,02-11-2024,STORE0001,Online,UPI,4,6400,1600,4800,PROD0013,H&M Cotton Shirt,Clothing,1600,4,4,162000,30920,335,31,99,1627980,1342899.5,52515.48
CUST00837,Lakshit Dara,Udaipur,Rajasthan,935516,12-12-2020,VIP,1534,115,TRANS05239,27-05-2022,STORE0001,Online,Wallet,1,40000,6000,34000,PROD0001,"Samsung LED TV 40""",Electronics,40000,1,4,188500,34890,335,38,120,2060960,1691914,54235.79
CUST01154,Michael Dhar,Manali,Himachal Pradesh,5996288,22-01-2018,Regular,2589,0,TRANS02967,09-09-2021,STORE0001,Online,UPI,2,140,42,98,PROD0007,Tata Tea Gold 250g,Groceries,70,2,5,253140,45952,335,25,129,2179640,1798533,87185.6
CUST01446,Priya Soni,Agra,Uttar Pradesh,935516,12-05-2019,Regular,2114,22,TRANS09560,24-11-2023,STORE0001,Online,UPI,4,96000,14400,81600,PROD0016,Godrej Interio Sofa,Furniture,24000,4,5,390400,73287,335,26,94,1425190,1174578.5,54815
CUST00965,Max Karan,Bhagalpur,Bihar,6130613,02-03-2018,Regular,2550,11,TRANS05577,22-08-2021,STORE0001,Online,Cash,5,125000,18750,106250,PROD0028,Bajaj Water Heater,Appliances,25000,5,2,433900,73410,335,30,170,2163600,1775420,72120
CUST01194,Pooja Seth,Guntur,Andhra Pradesh,556206,10-05-2021,Regular,1385,25,TRANS04630,31-08-2023,STORE0001,Online,UPI,5,12500,3125,9375,PROD0003,boAt Rockerz Headphones,Electronics,2500,5,5,657100,122365,335,33,94,852400,706566,25830.3
CUST01375,Siddharth Divan,Tawang,Arunachal Pradesh,935516,22-02-2024,Regular,367,28,TRANS07540,26-12-2021,STORE0001,Online,Cash,4,2800,784,2016,PROD0009,Fortune Oil 5L,Groceries,700,4,2,115000,21474,335,31,79,1244530,1033285.5,40146.13
CUST00238,Bachittar Chaudry,Ambala,Haryana,556206,23-12-2022,VIP,793,141,TRANS08533,17-02-2023,STORE0001,Online,UPI,4,96000,14400,81600,PROD0016,Godrej Interio Sofa,Furniture,24000,4,4,228000,38880,335,24,73,672340,553096,28014.17
CUST00786,Lakshit Mukhopadhyay,Rishikesh,Uttarakhand,935516,13-01-2020,Regular,1868,38,TRANS03543,22-01-2023,STORE0001,Online,UPI,2,10000,2200,7800,PROD0005,JBL Bluetooth Speaker,Electronics,5000,2,5,277100,46700,335,24,67,1302080,1070701,54253.33
CUST00011,Unni Sarin,Gandhinagar,Gujarat,935516,14-06-2022,At Risk,985,217,TRANS09285,31-08-2021,STORE0001,Online,Credit Card,3,39000,6240,32760,PROD0020,IKEA Bookshelf,Furniture,13000,3,4,433900,73410,335,22,70,1265740,1042468,57533.64
CUST01139,Samarth Solanki,Jaipur,Rajasthan,556206,15-04-2021,At Risk,1410,203,TRANS07165,15-02-2021,STORE0001,Online,UPI,5,120000,18000,102000,PROD0016,Godrej Interio Sofa,Furniture,24000,5,5,405530,67338.5,335,23,65,1169000,956585,50826.09
CUST00074,Saumya Nori,Dhanbad,Jharkhand,5996288,02-12-2023,Regular,449,38,TRANS04922,21-01-2022,STORE0001,Online,UPI,4,96000,14400,81600,PROD0016,Godrej Interio Sofa,Furniture,24000,4,5,208900,33537,335,24,118,1680250,1406857.5,70010.42
CUST01200,Kiaan Panchal,Tezpur,Assam,935516,23-08-2020,Regular,1645,63,TRANS09743,20-05-2024,STORE0001,Online,UPI,4,80000,13600,66400,PROD0019,Urban Ladder Bed,Furniture,20000,4,4,214500,38750,335,17,54,743200,608745,43717.65
CUST00541,Bachittar Lal,Prayagraj,Uttar Pradesh,556206,15-02-2021,Regular,1469,18,TRANS04217,07-11-2022,STORE0001,Online,Cash,3,105000,18900,86100,PROD0017,Pepperfry Dining Set,Furniture,35000,3,3,793720,143682,335,29,88,1525580,1249991,52606.21
CUST01374,Girik Dubey,Tirupati,Andhra Pradesh,935516,04-10-2022,Regular,873,2,TRANS05989,04-05-2021,STORE0001,Online,Cash,2,70000,12600,57400,PROD0017,Pepperfry Dining Set,Furniture,35000,2,2,714000,130650,335,26,75,1317930,1088522.5,50689.62
CUST00902,Harish Sharma,Ranchi,Jharkhand,935516,10-10-2021,Regular,1232,38,TRANS05874,05-11-2022,STORE0001,Online,UPI,2,40000,6800,33200,PROD0019,Urban Ladder Bed,Furniture,20000,2,5,793720,143682,335,27,89,1802500,1497445,66759.26
CUST00348,Odika Gokhale,Dharamshala,Himachal Pradesh,556206,05-02-2024,VIP,384,108,TRANS03416,26-09-2023,STORE0001,Online,UPI,4,10000,2500,7500,PROD0003,boAt Rockerz Headphones,Electronics,2500,4,5,143200,25466,335,24,86,1344000,1121630,56000
CUST00881,Januja Kapadia,Rohtak,Haryana,935516,22-02-2022,At Risk,1097,421,TRANS05336,25-01-2021,STORE0001,Online,UPI,5,21500,4300,17200,PROD0012,Manyavar Kurta Set,Clothing,4300,5,5,359500,62815,335,20,64,613230,499357.5,30661.5
CUST00481,Sathvik Shanker,Thiruvananthapuram,Kerala,935516,16-06-2018,Regular,2444,7,TRANS01528,17-12-2024,STORE0001,Online,UPI,5,120000,18000,102000,PROD0016,Godrej Interio Sofa,Furniture,24000,5,4,460800,82305,335,23,69,827800,687422,35991.3
CUST00582,Rachana Kuruvilla,Nainital,Uttarakhand,556206,20-10-2020,Regular,1587,5,TRANS02003,31-12-2021,STORE0001,Online,Debit Card,4,80000,13600,66400,PROD0019,Urban Ladder Bed,Furniture,20000,4,5,115000,21474,335,23,67,888030,724459.5,38610
CUST00112,Maanas Radhakrishnan,Shimla,Himachal Pradesh,935516,01-10-2020,Regular,1606,63,TRANS07262,20-09-2023,STORE0001,Online,UPI,1,6500,1170,5330,PROD0014,Raymond Suit,Clothing,6500,1,5,143200,25466,335,30,85,1666530,1380824.5,55551
CUST00760,Max Bumb,Belgaum,Karnataka,556206,15-11-2019,At Risk,1927,233,TRANS04337,31-12-2023,STORE0001,Online,Wallet,4,20000,4400,15600,PROD0005,JBL Bluetooth Speaker,Electronics,5000,4,5,222000,38225,335,28,81,1486700,1228215,53096.43
CUST00388,Megha Kapur,Gwalior,Madhya Pradesh,556206,27-07-2019,Regular,2038,41,TRANS00075,10-08-2023,STORE0001,Online,Debit Card,4,10000,2500,7500,PROD0030,Prestige Induction,Appliances,2500,4,3,657100,122365,335,31,111,1495560,1239324,48243.87
CUST00525,Amruta Halder,Kota,Rajasthan,935516,13-02-2020,Regular,1837,6,TRANS05472,10-07-2021,STORE0001,Online,Cash,2,2000,500,1500,PROD0032,Lego City Set,Toys,1000,2,3,213870,33407,335,29,84,1415500,1169610,48810.34
CUST01489,Ikshita Kara,Hubli,Karnataka,556206,25-12-2024,New,60,41,TRANS06320,06-01-2023,STORE0001,Online,Credit Card,5,7500,1650,5850,PROD0025,Maybelline Lipstick,Beauty,1500,5,4,277100,46700,335,28,86,1454800,1202888,51957.14
CUST00647,Sara Karpe,Durgapur,West Bengal,935516,13-08-2022,VIP,925,96,TRANS00830,13-05-2021,STORE0001,Online,UPI,5,310000,55800,254200,PROD0004,"LG Smart TV 55""",Electronics,62000,5,5,714000,130650,335,22,69,1092600,892395,49663.64
CUST01402,Vedhika Panchal,Naharlagun,Arunachal Pradesh,5996288,18-08-2020,Regular,1650,21,TRANS00248,05-05-2021,STORE0001,Online,Credit Card,2,5000,1250,3750,PROD0003,boAt Rockerz Headphones,Electronics,2500,2,5,714000,130650,335,25,109,1700800,1408070,68032
CUST00418,Garima Agrawal,Imphal,Manipur,935516,26-11-2020,Regular,1550,24,TRANS06960,15-01-2023,STORE0001,Online,Cash,5,120000,18000,102000,PROD0016,Godrej Interio Sofa,Furniture,24000,5,3,277100,46700,335,19,50,535200,446480,28168.42
CUST00059,Tarak Misra,Korba,Chhattisgarh,935516,22-06-2019,Regular,2073,70,TRANS01799,03-10-2021,STORE0001,Online,UPI,2,1000,300,700,PROD0021,Lakmé Foundation,Beauty,500,2,5,86420,15586,335,37,100,1282880,1063871,34672.43
CUST00442,Advik Swamy,Leh,Ladakh,6130613,16-03-2020,Regular,1805,27,TRANS08273,24-11-2024,STORE0001,Online,UPI,6,18000,3960,14040,PROD0029,Havells Mixer Grinder,Appliances,3000,6,5,162000,30920,335,28,120,1238560,1015985.5,44234.29
CUST00273,Fariq Suri,Bikaner,Rajasthan,5996288,02-04-2023,Regular,693,23,TRANS00864,14-11-2023,STORE0001,Online,UPI,5,135000,27000,108000,PROD0002,"Mi Smart TV 32""",Electronics,27000,5,5,390400,73287,335,30,143,1546030,1277893,51534.33
CUST01010,Dipta Kaur,Nagpur,Maharashtra,556206,01-10-2021,Regular,1241,7,TRANS08572,10-05-2021,STORE0001,Online,Credit Card,5,120000,18000,102000,PROD0016,Godrej Interio Sofa,Furniture,24000,5,5,714000,130650,335,29,87,1205800,1003450,41579.31
CUST00739,Aarush Kakar,Hubli,Karnataka,5996288,21-09-2018,Regular,2347,72,TRANS07436,03-03-2021,STORE0001,Online,Credit Card,8,44000,8800,35200,PROD0018,Nilkamal Chair Set,Furniture,5500,8,3,100000,19450,335,27,155,1946960,1610968,72109.63
CUST00176,Yashodhara Chandran,Ahmedabad,Gujarat,556206,25-09-2022,Regular,882,9,TRANS04085,04-06-2021,STORE0001,Online,Debit Card,2,70000,12600,57400,PROD0017,Pepperfry Dining Set,Furniture,35000,2,4,230950,39858,335,31,80,1118700,922697,36087.1
CUST00837,Lakshit Dara,Udaipur,Rajasthan,935516,12-12-2020,VIP,1534,115,TRANS04875,23-12-2023,STORE0001,Online,UPI,5,40000,8000,32000,PROD0015,Biba Salwar Suit,Clothing,8000,5,5,222000,38225,335,38,120,2060960,1691914,54235.79
CUST00716,Charita Chander,Jorhat,Assam,935516,08-07-2021,Regular,1326,57,TRANS01391,13-01-2021,STORE0001,Online,UPI,1,20000,3400,16600,PROD0019,Urban Ladder Bed,Furniture,20000,1,5,359500,62815,335,19,53,549600,452140,28926.32
CUST01304,Advik Dhawan,Warangal,Telangana,5996288,04-12-2019,Regular,1908,36,TRANS06515,22-08-2024,STORE0001,Online,UPI,4,140000,25200,114800,PROD0017,Pepperfry Dining Set,Furniture,35000,4,4,475200,88636,335,30,125,1789120,1461524,59637.33
CUST01194,Pooja Seth,Guntur,Andhra Pradesh,556206,10-05-2021,Regular,1385,25,TRANS01740,22-03-2022,STORE0001,Online,UPI,5,1000,350,650,PROD0023,Nykaa Nail Polish,Beauty,200,5,5,567880,92322,335,33,94,852400,706566,25830.3
CUST00809,Nilima Desai,Dimapur,Nagaland,5996288,05-05-2021,Regular,1390,26,TRANS03615,08-10-2022,STORE0001,Online,Credit Card,7,38500,7700,30800,PROD0018,Nilkamal Chair Set,Furniture,5500,7,4,275000,49945,335,22,100,1831780,1516881,83262.73
CUST00938,Raghav Raj,Silvassa,Dadra and Nagar Haveli and Daman and Diu,556206,18-01-2021,Regular,1497,1,TRANS04865,07-09-2022,STORE0001,Online,UPI,4,80000,13600,66400,PROD0019,Urban Ladder Bed,Furniture,20000,4,5,121000,21580,335,25,83,900700,744255,36028
CUST01229,Samaksh Gour,Pune,Maharashtra,935516,18-03-2020,Regular,1803,43,TRANS01322,31-05-2023,STORE0001,Online,UPI,3,7500,1875,5625,PROD0003,boAt Rockerz Headphones,Electronics,2500,3,5,551720,93432,335,26,70,953700,782070,36680.77
CUST00291,Manya Banik,Visakhapatnam,Andhra Pradesh,935516,17-09-2018,Regular,2351,39,TRANS09767,10-11-2023,STORE0001,Online,UPI,3,24000,4800,19200,PROD0015,Biba Salwar Suit,Clothing,8000,3,5,390400,73287,335,31,81,901680,738675,29086.45
CUST00809,Nilima Desai,Dimapur,Nagaland,5996288,05-05-2021,Regular,1390,26,TRANS06060,19-03-2024,STORE0001,Online,UPI,3,186000,33480,152520,PROD0004,"LG Smart TV 55""",Electronics,62000,3,4,722500,131010,335,22,100,1831780,1516881,83262.73
CUST00184,Raksha Mangal,Patna,Bihar,556206,09-01-2021,Regular,1506,4,TRANS05381,04-06-2024,STORE0001,Online,UPI,1,24000,3600,20400,PROD0016,Godrej Interio Sofa,Furniture,24000,1,5,48350,7305,335,25,85,1043200,856434,41728
